M4DB	HR4DB	T4DB	RH4DB	WS4DB	GIRR4DB	UTCI4DB	M3DB	HR3DB	T3DB	RH3DB	WS3DB	GIRR3DB	UTCI3DB	M2DB	HR2DB	T2DB	RH2DB	WS2DB	GIRR2DB	UTCI2DB	M1DB	HR1DB	T1DB	RH1DB	WS1DB	GIRR1DB	UTCI1DB	MND	HRND	UTCIND
4	23	18.06	41.93	4	0	6	4	23	17.94	54.97	0.4	0	16	4	23	19.17	54.93	0.4	0	17	4	23	19.28	56.94	0.4	0	17	4	23	17
4	22	18.17	42.94	2.2	0	11	4	22	17.44	60.97	0.9	0	15	4	22	19.39	59.95	0.4	0	18	4	22	19.83	51.95	0.4	0	18	4	22	17
4	21	18.5	41.94	5.3	0	5	4	21	17.83	56.95	1.8	0	12	4	21	19.94	63.96	0.9	0	18	4	21	20.61	47.96	1.8	0	15	4	21	14
4	20	19.44	35.96	3.1	0	10	4	20	18.94	53.95	3.1	0	10	4	20	20.67	52.94	1.3	0	17	4	20	21.17	45.93	1.3	0	17	4	20	16
4	19	20.5	31.94	3.6	25	10	4	19	20.5	45.96	4.4	33	10	4	19	21.5	49.95	1.8	44	17	4	19	22.44	48.95	2.2	28	17	4	19	17
4	18	21.44	28.95	3.1	310	22	4	18	21.83	36.94	5.3	127	13	4	18	22.39	44.93	2.2	230	23	4	18	23	39.94	2.7	288	24	4	18	23
4	17	22.17	28.94	4.4	475	27	4	17	22.67	39.95	4.4	207	18	4	17	23.33	40.96	2.7	446	30	4	17	24.33	33.95	4	447	29	4	17	31
4	16	22.44	24.96	4	642	19	4	16	23.83	40.97	2.7	775	24	4	16	24.39	36.96	1.3	617	27	4	16	24.67	33.93	2.2	612	25	4	16	25
4	15	22.61	25.96	4.4	744	19	4	15	23.94	41.97	5.3	747	21	4	15	24.83	32.95	2.2	721	26	4	15	24.56	33.95	2.7	722	25	4	15	23
4	14	22.11	26.95	4	798	19	4	14	23.11	41.96	4.4	520	18	4	14	24.28	45.95	2.2	768	26	4	14	23.83	38.95	4	798	22	4	14	29
4	13	22.06	28.94	4	796	18	4	13	25.39	36.95	3.6	183	19	4	13	23.72	45.94	2.2	793	24	4	13	23.72	41.96	1.8	765	25	4	13	25
4	12	21.33	31.96	5.8	747	15	4	12	25.22	32.95	4	717	22	4	12	23.78	38.94	1.8	710	25	4	12	23.61	43.94	1.8	703	25	4	12	24
4	11	20.17	34.93	3.6	629	15	4	11	21.78	51.95	1.8	320	20	4	11	22.33	38.96	1.3	594	23	4	11	22.28	41.95	1.3	592	23	4	11	23
4	10	18.89	39.94	5.3	482	10	4	10	19.78	50.93	0.9	545	21	4	10	20.61	40.95	0.9	455	21	4	10	20.28	45.93	1.3	446	20	4	10	15
4	9	17.44	48.95	5.8	241	5	4	9	17.44	55.97	0.4	147	17	4	9	18.72	43.94	0.4	244	18	4	9	18.06	54.93	0.9	244	17	4	9	13
4	8	16.39	52.94	5.8	100	3	4	8	16.72	57.95	0	33	15	4	8	16.17	57.93	0	86	15	4	8	15.78	60.94	1.3	78	12	4	8	8
4	7	15.72	52.94	3.6	0	4	4	7	15.72	59.94	0	0	14	4	7	15.5	55.96	0	0	14	4	7	15.11	62.98	0.4	0	13	4	7	8
4	6	16.11	50.96	5.3	0	2	4	6	16.06	59.95	0.4	0	14	4	6	15.44	58.98	0	0	14	4	6	15.06	62.92	0.4	0	13	4	6	14
4	5	16.78	49.93	4.4	0	4	4	5	16.17	59.93	0.4	0	14	4	5	16.33	56.95	0	0	15	4	5	15.5	60.96	0	0	14	4	5	13
4	4	16.78	57.96	1.3	0	13	4	4	16.5	57.97	0	0	15	4	4	16.67	54.94	0.4	0	14	4	4	16.11	57.95	0.4	0	14	4	4	16
4	3	17.39	58.95	2.7	0	9	4	3	17.11	56.96	0	0	15	4	3	17.06	55.95	0.4	0	15	4	3	15.72	64.98	1.3	0	12	4	3	16
4	2	17.28	55.93	1.8	0	12	4	2	18.17	51.95	0	0	16	4	2	17.5	54.97	0.4	0	15	4	2	16.67	63.94	0	0	15	4	2	16
4	1	17.56	54.95	3.1	0	8	4	1	18.28	50.93	0	0	16	4	1	17.72	55.97	0	0	16	4	1	16.72	63.95	0	0	15	4	1	18
4	0	17.78	53.93	1.8	0	12	4	0	18.94	49.95	0	0	17	4	0	17.94	61.96	0	0	16	4	0	17.56	58.95	0	0	16	4	0	16
4	23	17.94	54.97	0.4	0	16	4	23	19.17	54.93	0.4	0	17	4	23	19.28	56.94	0.4	0	17	4	23	18.72	50.95	0	0	17	4	23	19
4	22	17.44	60.97	0.9	0	15	4	22	19.39	59.95	0.4	0	18	4	22	19.83	51.95	0.4	0	18	4	22	18.83	52.95	0.4	0	17	4	22	16
4	21	17.83	56.95	1.8	0	12	4	21	19.94	63.96	0.9	0	18	4	21	20.61	47.96	1.8	0	15	4	21	19.22	52.95	0.4	0	17	4	21	20
4	20	18.94	53.95	3.1	0	10	4	20	20.67	52.94	1.3	0	17	4	20	21.17	45.93	1.3	0	17	4	20	19.5	49.97	2.2	0	13	4	20	17
4	19	20.5	45.96	4.4	33	10	4	19	21.5	49.95	1.8	44	17	4	19	22.44	48.95	2.2	28	17	4	19	19.67	60.94	2.7	25	13	4	19	21
4	18	21.83	36.94	5.3	127	13	4	18	22.39	44.93	2.2	230	23	4	18	23	39.94	2.7	288	24	4	18	23.39	32.94	3.6	297	23	4	18	25
4	17	22.67	39.95	4.4	207	18	4	17	23.33	40.96	2.7	446	30	4	17	24.33	33.95	4	447	29	4	17	23.89	31.94	3.1	459	30	4	17	37
4	16	23.83	40.97	2.7	775	24	4	16	24.39	36.96	1.3	617	27	4	16	24.67	33.93	2.2	612	25	4	16	23.83	36.95	2.2	622	25	4	16	24
4	15	23.94	41.97	5.3	747	21	4	15	24.83	32.95	2.2	721	26	4	15	24.56	33.95	2.7	722	25	4	15	25.5	28.96	1.3	689	28	4	15	22
4	14	23.11	41.96	4.4	520	18	4	14	24.28	45.95	2.2	768	26	4	14	23.83	38.95	4	798	22	4	14	24.94	27.95	3.6	726	23	4	14	22
4	13	25.39	36.95	3.6	183	19	4	13	23.72	45.94	2.2	793	24	4	13	23.72	41.96	1.8	765	25	4	13	25.06	26.95	2.2	582	23	4	13	25
4	12	25.22	32.95	4	717	22	4	12	23.78	38.94	1.8	710	25	4	12	23.61	43.94	1.8	703	25	4	12	23.67	28.94	1.3	795	25	4	12	23
4	11	21.78	51.95	1.8	320	20	4	11	22.33	38.96	1.3	594	23	4	11	22.28	41.95	1.3	592	23	4	11	22	34.96	0.9	628	23	4	11	23
4	10	19.78	50.93	0.9	545	21	4	10	20.61	40.95	0.9	455	21	4	10	20.28	45.93	1.3	446	20	4	10	20.89	34.95	1.8	478	19	4	10	22
4	9	17.44	55.97	0.4	147	17	4	9	18.72	43.94	0.4	244	18	4	9	18.06	54.93	0.9	244	17	4	9	17.67	47.95	1.8	237	14	4	9	19
4	8	16.72	57.95	0	33	15	4	8	16.17	57.93	0	86	15	4	8	15.78	60.94	1.3	78	12	4	8	16.17	51.94	0	76	15	4	8	15
4	7	15.72	59.94	0	0	14	4	7	15.5	55.96	0	0	14	4	7	15.11	62.98	0.4	0	13	4	7	14.83	53.96	0	0	13	4	7	14
4	6	16.06	59.95	0.4	0	14	4	6	15.44	58.98	0	0	14	4	6	15.06	62.92	0.4	0	13	4	6	15.44	49.97	0.4	0	13	4	6	15
4	5	16.17	59.93	0.4	0	14	4	5	16.33	56.95	0	0	15	4	5	15.5	60.96	0	0	14	4	5	16.11	47.94	0.9	0	12	4	5	15
4	4	16.5	57.97	0	0	15	4	4	16.67	54.94	0.4	0	14	4	4	16.11	57.95	0.4	0	14	4	4	15.61	60.95	0.4	0	14	4	4	15
4	3	17.11	56.96	0	0	15	4	3	17.06	55.95	0.4	0	15	4	3	15.72	64.98	1.3	0	12	4	3	16.44	58.99	0	0	15	4	3	16
4	2	18.17	51.95	0	0	16	4	2	17.5	54.97	0.4	0	15	4	2	16.67	63.94	0	0	15	4	2	16.78	59.96	0	0	15	4	2	16
4	1	18.28	50.93	0	0	16	4	1	17.72	55.97	0	0	16	4	1	16.72	63.95	0	0	15	4	1	17.06	60.92	0	0	16	4	1	16
4	0	18.94	49.95	0	0	17	4	0	17.94	61.96	0	0	16	4	0	17.56	58.95	0	0	16	4	0	17.72	62.95	0	0	16	4	0	18
4	23	19.17	54.93	0.4	0	17	4	23	19.28	56.94	0.4	0	17	4	23	18.72	50.95	0	0	17	4	23	18.28	66.95	0	0	17	4	23	18
4	22	19.39	59.95	0.4	0	18	4	22	19.83	51.95	0.4	0	18	4	22	18.83	52.95	0.4	0	17	4	22	18.83	61.96	0	0	17	4	22	16
4	21	19.94	63.96	0.9	0	18	4	21	20.61	47.96	1.8	0	15	4	21	19.22	52.95	0.4	0	17	4	21	19.06	59.95	1.8	0	14	4	21	18
4	20	20.67	52.94	1.3	0	17	4	20	21.17	45.93	1.3	0	17	4	20	19.5	49.97	2.2	0	13	4	20	19.83	49.96	1.3	0	16	4	20	17
4	19	21.5	49.95	1.8	44	17	4	19	22.44	48.95	2.2	28	17	4	19	19.67	60.94	2.7	25	13	4	19	20.44	51.97	1.3	40	17	4	19	20
4	18	22.39	44.93	2.2	230	23	4	18	23	39.94	2.7	288	24	4	18	23.39	32.94	3.6	297	23	4	18	21.83	34.95	2.7	294	23	4	18	24
4	17	23.33	40.96	2.7	446	30	4	17	24.33	33.95	4	447	29	4	17	23.89	31.94	3.1	459	30	4	17	23.22	31.95	2.7	466	31	4	17	28
4	16	24.39	36.96	1.3	617	27	4	16	24.67	33.93	2.2	612	25	4	16	23.83	36.95	2.2	622	25	4	16	24.56	20.95	2.2	631	25	4	16	23
4	15	24.83	32.95	2.2	721	26	4	15	24.56	33.95	2.7	722	25	4	15	25.5	28.96	1.3	689	28	4	15	25.33	19.95	3.6	740	23	4	15	24
4	14	24.28	45.95	2.2	768	26	4	14	23.83	38.95	4	798	22	4	14	24.94	27.95	3.6	726	23	4	14	25.5	20.95	0.9	802	29	4	14	24
4	13	23.72	45.94	2.2	793	24	4	13	23.72	41.96	1.8	765	25	4	13	25.06	26.95	2.2	582	23	4	13	24.72	17.96	1.8	800	25	4	13	23
4	12	23.78	38.94	1.8	710	25	4	12	23.61	43.94	1.8	703	25	4	12	23.67	28.94	1.3	795	25	4	12	24.17	16.95	1.8	747	24	4	12	21
4	11	22.33	38.96	1.3	594	23	4	11	22.28	41.95	1.3	592	23	4	11	22	34.96	0.9	628	23	4	11	23.39	18.96	1.3	631	23	4	11	24
4	10	20.61	40.95	0.9	455	21	4	10	20.28	45.93	1.3	446	20	4	10	20.89	34.95	1.8	478	19	4	10	21.44	23.96	3.6	448	15	4	10	21
4	9	18.72	43.94	0.4	244	18	4	9	18.06	54.93	0.9	244	17	4	9	17.67	47.95	1.8	237	14	4	9	20.33	25.95	2.7	243	13	4	9	18
4	8	16.17	57.93	0	86	15	4	8	15.78	60.94	1.3	78	12	4	8	16.17	51.94	0	76	15	4	8	18.56	32.94	3.6	77	8	4	8	16
4	7	15.5	55.96	0	0	14	4	7	15.11	62.98	0.4	0	13	4	7	14.83	53.96	0	0	13	4	7	18.44	34.96	3.1	0	8	4	7	15
4	6	15.44	58.98	0	0	14	4	6	15.06	62.92	0.4	0	13	4	6	15.44	49.97	0.4	0	13	4	6	19.11	35.94	1.3	0	14	4	6	15
4	5	16.33	56.95	0	0	15	4	5	15.5	60.96	0	0	14	4	5	16.11	47.94	0.9	0	12	4	5	19.44	34.96	1.8	0	13	4	5	16
4	4	16.67	54.94	0.4	0	14	4	4	16.11	57.95	0.4	0	14	4	4	15.61	60.95	0.4	0	14	4	4	19.17	35.93	0.4	0	16	4	4	16
4	3	17.06	55.95	0.4	0	15	4	3	15.72	64.98	1.3	0	12	4	3	16.44	58.99	0	0	15	4	3	19.67	34.93	0.4	0	16	4	3	17
4	2	17.5	54.97	0.4	0	15	4	2	16.67	63.94	0	0	15	4	2	16.78	59.96	0	0	15	4	2	20.11	35.96	0.9	0	16	4	2	17
4	1	17.72	55.97	0	0	16	4	1	16.72	63.95	0	0	15	4	1	17.06	60.92	0	0	16	4	1	20.61	45.96	0.4	0	18	4	1	17
4	0	17.94	61.96	0	0	16	4	0	17.56	58.95	0	0	16	4	0	17.72	62.95	0	0	16	4	0	21.44	41.96	1.8	0	16	4	0	17
4	23	19.28	56.94	0.4	0	17	4	23	18.72	50.95	0	0	17	4	23	18.28	66.95	0	0	17	4	23	22	38.95	0.4	0	19	3	23	16
4	22	19.83	51.95	0.4	0	18	4	22	18.83	52.95	0.4	0	17	4	22	18.83	61.96	0	0	17	4	22	22.56	39.94	2.2	0	16	3	22	18
4	21	20.61	47.96	1.8	0	15	4	21	19.22	52.95	0.4	0	17	4	21	19.06	59.95	1.8	0	14	4	21	23.22	42.96	0.9	0	20	3	21	16
4	20	21.17	45.93	1.3	0	17	4	20	19.5	49.97	2.2	0	13	4	20	19.83	49.96	1.3	0	16	4	20	24.17	40.93	3.1	0	17	3	20	17
4	19	22.44	48.95	2.2	28	17	4	19	19.67	60.94	2.7	25	13	4	19	20.44	51.97	1.3	40	17	4	19	23.39	51.94	1.8	88	21	3	19	17
4	18	23	39.94	2.7	288	24	4	18	23.39	32.94	3.6	297	23	4	18	21.83	34.95	2.7	294	23	4	18	23	54.94	2.7	290	25	3	18	22
4	17	24.33	33.95	4	447	29	4	17	23.89	31.94	3.1	459	30	4	17	23.22	31.95	2.7	466	31	4	17	23.56	46.94	2.2	575	37	3	17	27
4	16	24.67	33.93	2.2	612	25	4	16	23.83	36.95	2.2	622	25	4	16	24.56	20.95	2.2	631	25	4	16	24.56	41.93	2.2	380	24	3	16	22
4	15	24.56	33.95	2.7	722	25	4	15	25.5	28.96	1.3	689	28	4	15	25.33	19.95	3.6	740	23	4	15	22.72	52.96	3.6	698	22	3	15	23
4	14	23.83	38.95	4	798	22	4	14	24.94	27.95	3.6	726	23	4	14	25.5	20.95	0.9	802	29	4	14	23.06	48.93	3.6	728	22	3	14	24
4	13	23.72	41.96	1.8	765	25	4	13	25.06	26.95	2.2	582	23	4	13	24.72	17.96	1.8	800	25	4	13	23.83	42.96	1.8	737	25	3	13	24
4	12	23.61	43.94	1.8	703	25	4	12	23.67	28.94	1.3	795	25	4	12	24.17	16.95	1.8	747	24	4	12	23.39	43.94	1.8	657	23	3	12	22
4	11	22.28	41.95	1.3	592	23	4	11	22	34.96	0.9	628	23	4	11	23.39	18.96	1.3	631	23	4	11	22	51.94	1.3	555	23	3	11	17
4	10	20.28	45.93	1.3	446	20	4	10	20.89	34.95	1.8	478	19	4	10	21.44	23.96	3.6	448	15	4	10	20.33	59.98	0.4	443	22	3	10	20
4	9	18.06	54.93	0.9	244	17	4	9	17.67	47.95	1.8	237	14	4	9	20.33	25.95	2.7	243	13	4	9	17.78	66.97	0	214	19	3	9	18
4	8	15.78	60.94	1.3	78	12	4	8	16.17	51.94	0	76	15	4	8	18.56	32.94	3.6	77	8	4	8	15.17	74.93	0	58	15	3	8	14
4	7	15.11	62.98	0.4	0	13	4	7	14.83	53.96	0	0	13	4	7	18.44	34.96	3.1	0	8	4	7	14.83	75.98	0.4	0	14	3	7	13
4	6	15.06	62.92	0.4	0	13	4	6	15.44	49.97	0.4	0	13	4	6	19.11	35.94	1.3	0	14	4	6	15.89	73.97	0	0	15	3	6	14
4	5	15.5	60.96	0	0	14	4	5	16.11	47.94	0.9	0	12	4	5	19.44	34.96	1.8	0	13	4	5	15.78	75.94	0	0	15	3	5	14
4	4	16.11	57.95	0.4	0	14	4	4	15.61	60.95	0.4	0	14	4	4	19.17	35.93	0.4	0	16	4	4	16.22	75.96	0	0	15	3	4	15
4	3	15.72	64.98	1.3	0	12	4	3	16.44	58.99	0	0	15	4	3	19.67	34.93	0.4	0	16	4	3	17.11	72.98	0	0	16	3	1	15
